KreisBisherCd,KreisCd,AnzUmzuWir
Kreis 1,Kreis 1,115
Kreis 1,Kreis 2,82
Kreis 1,Kreis 3,86
Kreis 1,Kreis 4,142
Kreis 1,Kreis 5,48
Kreis 1,Kreis 6,85
Kreis 1,Kreis 7,99
Kreis 1,Kreis 8,74
Kreis 1,Kreis 9,55
Kreis 1,Kreis 10,43
Kreis 1,Kreis 11,87
Kreis 1,Kreis 12,17
Kreis 2,Kreis 1,81
Kreis 2,Kreis 2,1321
Kreis 2,Kreis 3,357
Kreis 2,Kreis 4,243
Kreis 2,Kreis 5,90
Kreis 2,Kreis 6,155
Kreis 2,Kreis 7,169
Kreis 2,Kreis 8,165
Kreis 2,Kreis 9,236
Kreis 2,Kreis 10,134
Kreis 2,Kreis 11,262
Kreis 2,Kreis 12,88
Kreis 3,Kreis 1,88
Kreis 3,Kreis 2,507
Kreis 3,Kreis 3,2043
Kreis 3,Kreis 4,638
Kreis 3,Kreis 5,225
Kreis 3,Kreis 6,259
Kreis 3,Kreis 7,224
Kreis 3,Kreis 8,133
Kreis 3,Kreis 9,805
Kreis 3,Kreis 10,393
Kreis 3,Kreis 11,397
Kreis 3,Kreis 12,153
Kreis 4,Kreis 1,94
Kreis 4,Kreis 2,249
Kreis 4,Kreis 3,866
Kreis 4,Kreis 4,1148
Kreis 4,Kreis 5,285
Kreis 4,Kreis 6,285
Kreis 4,Kreis 7,220
Kreis 4,Kreis 8,117
Kreis 4,Kreis 9,500
Kreis 4,Kreis 10,314
Kreis 4,Kreis 11,324
Kreis 4,Kreis 12,122
Kreis 5,Kreis 1,49
Kreis 5,Kreis 2,126
Kreis 5,Kreis 3,221
Kreis 5,Kreis 4,284
Kreis 5,Kreis 5,384
Kreis 5,Kreis 6,164
Kreis 5,Kreis 7,93
Kreis 5,Kreis 8,61
Kreis 5,Kreis 9,198
Kreis 5,Kreis 10,219
Kreis 5,Kreis 11,153
Kreis 5,Kreis 12,61
Kreis 6,Kreis 1,77
Kreis 6,Kreis 2,149
Kreis 6,Kreis 3,299
Kreis 6,Kreis 4,272
Kreis 6,Kreis 5,131
Kreis 6,Kreis 6,1125
Kreis 6,Kreis 7,380
Kreis 6,Kreis 8,130
Kreis 6,Kreis 9,220
Kreis 6,Kreis 10,361
Kreis 6,Kreis 11,591
Kreis 6,Kreis 12,230
Kreis 7,Kreis 1,83
Kreis 7,Kreis 2,175
Kreis 7,Kreis 3,195
Kreis 7,Kreis 4,190
Kreis 7,Kreis 5,102
Kreis 7,Kreis 6,259
Kreis 7,Kreis 7,1395
Kreis 7,Kreis 8,290
Kreis 7,Kreis 9,190
Kreis 7,Kreis 10,172
Kreis 7,Kreis 11,253
Kreis 7,Kreis 12,115
Kreis 8,Kreis 1,53
Kreis 8,Kreis 2,108
Kreis 8,Kreis 3,115
Kreis 8,Kreis 4,118
Kreis 8,Kreis 5,55
Kreis 8,Kreis 6,139
Kreis 8,Kreis 7,280
Kreis 8,Kreis 8,544
Kreis 8,Kreis 9,109
Kreis 8,Kreis 10,76
Kreis 8,Kreis 11,115
Kreis 8,Kreis 12,49
Kreis 9,Kreis 1,63
Kreis 9,Kreis 2,227
Kreis 9,Kreis 3,664
Kreis 9,Kreis 4,338
Kreis 9,Kreis 5,127
Kreis 9,Kreis 6,200
Kreis 9,Kreis 7,198
Kreis 9,Kreis 8,102
Kreis 9,Kreis 9,2831
Kreis 9,Kreis 10,339
Kreis 9,Kreis 11,539
Kreis 9,Kreis 12,256
Kreis 10,Kreis 1,38
Kreis 10,Kreis 2,126
Kreis 10,Kreis 3,262
Kreis 10,Kreis 4,240
Kreis 10,Kreis 5,152
Kreis 10,Kreis 6,289
Kreis 10,Kreis 7,197
Kreis 10,Kreis 8,64
Kreis 10,Kreis 9,342
Kreis 10,Kreis 10,1228
Kreis 10,Kreis 11,458
Kreis 10,Kreis 12,115
Kreis 11,Kreis 1,106
Kreis 11,Kreis 2,282
Kreis 11,Kreis 3,385
Kreis 11,Kreis 4,348
Kreis 11,Kreis 5,142
Kreis 11,Kreis 6,490
Kreis 11,Kreis 7,239
Kreis 11,Kreis 8,127
Kreis 11,Kreis 9,524
Kreis 11,Kreis 10,492
Kreis 11,Kreis 11,3731
Kreis 11,Kreis 12,727
Kreis 12,Kreis 1,24
Kreis 12,Kreis 2,56
Kreis 12,Kreis 3,113
Kreis 12,Kreis 4,101
Kreis 12,Kreis 5,44
Kreis 12,Kreis 6,183
Kreis 12,Kreis 7,71
Kreis 12,Kreis 8,42
Kreis 12,Kreis 9,155
Kreis 12,Kreis 10,92
Kreis 12,Kreis 11,522
Kreis 12,Kreis 12,1632