KreisBisherCd,Kreis 1,Kreis 10,Kreis 11,Kreis 12,Kreis 2,Kreis 3,Kreis 4,Kreis 5,Kreis 6,Kreis 7,Kreis 8,Kreis 9
Kreis 1,115,43,87,17,82,86,142,48,85,99,74,55
Kreis 10,38,1228,458,115,126,262,240,152,289,197,64,342
Kreis 11,106,492,3731,727,282,385,348,142,490,239,127,524
Kreis 12,24,92,522,1632,56,113,101,44,183,71,42,155
Kreis 2,81,134,262,88,1321,357,243,90,155,169,165,236
Kreis 3,88,393,397,153,507,2043,638,225,259,224,133,805
Kreis 4,94,314,324,122,249,866,1148,285,285,220,117,500
Kreis 5,49,219,153,61,126,221,284,384,164,93,61,198
Kreis 6,77,361,591,230,149,299,272,131,1125,380,130,220
Kreis 7,83,172,253,115,175,195,190,102,259,1395,290,190
Kreis 8,53,76,115,49,108,115,118,55,139,280,544,109
Kreis 9,63,339,539,256,227,664,338,127,200,198,102,2831